Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Prospect Status
Capital Roofing Limited,Capital Roofing Limited,Cold,10,construction,http://www.capitalroofinglimited.co.uk,https://www.facebook.com/CapitalRoofingLtd/,
WAA Roofing Ltd,WAA Roofing,Cold,3,construction,http://www.waaroofing.co.uk,,
"Klaus Roofing Systems, LLC",Klaus Roofing,Cold,9,construction,http://www.klausroofingsystems.com,https://www.facebook.com/klausroofingsystems/,
"Gallo Roofing Consultants, S.A. de C.V.",Gallo Roofing Consultants S.A. de C.V,Cold,9,construction,http://www.galloconsulting.mx,https://www.facebook.com/www.galloconsulting.mx,
Metal Roofing Alliance,Metal Roofing Alliance,Cold,5,construction,http://www.metalroofing.com,https://www.facebook.com/metalroofingalliance/,
ALL SEASONS EQUIPMENT MFG,ALL SEASONS EQUIPMENT MFG,Cold,6,machinery,http://www.asequip.com,https://www.facebook.com/pages/All-Seasons-Equipment/249279448420597,
Excel Roofing & Cladding Ltd,Excel Roofing & Cladding,Cold,6,construction,http://www.excelroofingandcladding.co.uk,https://www.facebook.com/ExcelRoofingCladdingLtd,
Crannog Roofing,Crannog Roofing,Cold,10,construction,http://www.crannogroofing.ie,https://www.facebook.com/crannogroofing/,
FOREMAN'S ROOFING SYSTEMS LLC,FOREMAN'S ROOFING,Cold,4,construction,http://www.foremansroofing.com,https://www.facebook.com/foremansroofing,
"Black Diamond Roofing, Inc.",Black Diamond Roofing,Cold,6,construction,http://www.blackdiamondroofs.com,,
Big Time Roofing LLC,Big Time Roofing,Cold,3,construction,http://www.bigtimeroof.com,,
Ottawa Roofing Professionals,Ottawa Roofing Professionals,Cold,1,construction,http://www.roofinginottawa.com,https://facebook.com/RoofingOttawa,
RoofCERT,RoofCERT,Cold,1,construction,http://www.roofcert.co.uk,https://www.facebook.com/Roofcert-419607112193483,
Axel Roofing,Axel Roofing,Cold,9,construction,http://www.axelroofing.com,,
B Jarvis Roofing LTD,B Jarvis Roofing,Cold,8,construction,http://www.jarvisroofing.co.uk,,
Stace Roofing,Stace Roofing,Cold,5,construction,http://www.staceroofing.co.uk,https://www.facebook.com/profile.php,
Stone Specialist,Stone Specialist,Cold,8,construction,http://www.stonespecialist.com,,
WeatherFAST Ltd,WeatherFAST,Cold,3,construction,http://www.weatherfast.co.uk,,
"TRS Roofing Systems - Houston, LLC.",TRS Roofing,Cold,8,construction,http://www.turnerroof.com,,
Gribben Solar Roofing,Gribben Solar Roofing,Cold,3,construction,http://www.gribbenroofing.com,,
Northwest Roofing & Building Maintenance Ltd,Northwest Roofing & Building Maintenance,Cold,2,construction,http://www.northwestroofingltd.co.uk,,
JCM Roofing & Restoration,JCM Roofing & Restoration,Cold,8,construction,http://www.jcmroofing-restoration.com,,
Metro Roof,Metro Roof,Cold,4,construction,http://www.metroroof.co.za,https://www.facebook.com/pages/Metro-Roofing/849179071799397,
US Roofing Systems,US Roofing,Cold,9,construction,http://www.usroof.com,,
Roof One Restoration,Roof One Restoration,Cold,5,construction,http://www.roofonerestoration.com,https://facebook.com/pages/Roof-One-Restoration/722918367782671,
Degafloor Ltd,Degafloor,Cold,9,construction,http://www.degafloor.com,https://www.facebook.com/DegafloorLtd,
Integrity Pro Roofing,Integrity Pro Roofing,Cold,5,construction,http://www.integrityproroofing.com,,
Service First Solutions,Service First Solutions,Cold,3,construction,http://www.growroofservice.com,https://www.facebook.com/ServiceFirstSolutions,
Mc Roofing LTD,Mc Roofing,Cold,10,construction,http://www.mcroofingltd.co.uk,https://www.facebook.com/mcroofingltd/,
