Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Website Status
Columbus Epoxy Flooring,Columbus Epoxy Flooring,Cold,2,construction,http://www.columbusepoxyflooring.com,https://www.facebook.com/ColumbusEpoxyFlooring/,Offline
Kingston Flooring,Kingston Flooring,Cold,8,construction,http://www.kingstonfloors.com,https://facebook.com/KingstonFlooring,Online
Gemstone Surfaces Ltd,Gemstone Surfaces,Cold,2,construction,http://www.gemstone-surfaces.com,https://www.facebook.com/GemstoneSurfacesLtd,Online
Cotswold Natural Stone Masonry Ltd,Cotswold Natural Stone Masonry,Cold,3,construction,http://www.apsmasonry.com,,Online
Floorcare USA,Floorcare USA,Cold,10,construction,http://www.floorcare-usa.com,https://www.facebook.com/Floorcareusa,Offline
GR Flooring,GR Flooring,Cold,5,construction,http://www.grflooring.ca,https://www.facebook.com/GRFlooringInc/,Online
BON VIEW TRADING,BON VIEW TRADING,Cold,9,construction,http://www.bvtrading.co.za,,Online
supagold.london,supagold.london,Cold,10,construction,http://www.supagold.london,,Online
Concrete Flooring Network Ltd,Concrete Flooring Network,Cold,3,construction,http://www.concreteflooringnetwork.co.uk,,Offline
Conren Resin Flooring Limited,Conren Resin Flooring Limited,Cold,10,construction,http://www.conrenresinflooring.com,,Online
Ryebrook Resins Flooring Ltd - Resin Floor Contractors,Ryebrook Resins Flooring,Cold,10,construction,http://www.ryebrook.co.uk,https://www.facebook.com/RyebrookResins,Online
Degafloor Ltd,Degafloor,Cold,9,construction,http://www.degafloor.com,https://www.facebook.com/DegafloorLtd,Online
Zenith Flooring,Zenith Flooring,Cold,4,construction,http://www.zenithflooring.co.uk,,Online
MDFITOUT LIMITED,MDFITOUT LIMITED,Cold,8,construction,http://www.mdfitout.co.uk,https://www.facebook.com/mdfitout,Online
Partner Flooring,Partner Flooring,Cold,2,construction,http://www.partnerflooring.com,,Online
Olympian Marble Corporation,Olympian Marble,Cold,2,building materials,http://www.olympianmarble.com,,Online
ELITE RENOVATIONS ACT,ELITE RENOVATIONS ACT,Cold,1,construction,http://www.eliterenoact.com,,Online
"CI Flooring, LLC.",CI Flooring,Cold,8,construction,http://www.ciflooringllc.com,https://www.facebook.com/CI-Flooring-LLC-110425418428646,Online
Flooring Direct NZ,Flooring Direct NZ,Cold,7,construction,http://www.flooringdirect.co.nz,,Online
SR Vloeren,SR Vloeren,Cold,9,construction,http://www.sr-vloeren.nl,,Online
NOBEL Flooring,NOBEL Flooring,Cold,7,construction,http://www.nobelflooring.com,https://www.facebook.com/nobelflooring/,Online
Ryno Custom Flooring,Ryno Custom Flooring,Cold,3,construction,http://www.rynofloors.com,https://facebook.com/RynoCustomFloors,Offline
BRT Flooring,BRT Flooring,Cold,2,construction,http://www.brtflooring.com,,Online
CRT Flooring Specialists Ltd,CRT Flooring Specialists,Cold,8,construction,http://www.crtflooringspecialists.co.uk,https://www.facebook.com/crtflooringspecialists/,Online
New Homes Flooring,New Homes Flooring,Cold,10,construction,http://www.newhomesflooring.co.uk,,Online
