Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Website Status,Social Media Links
Flowstone Industrial Flooring Ltd,Flowstone Industrial Flooring,Cold,4,construction,http://www.ukindustrialflooring.co.uk,https://www.facebook.com/Flowstone-Industrial-Flooring-Ltd-710086709019646/info,Online,"['https://www.facebook.com/Flowstone-Industrial-Flooring-Ltd-710086709019646/info?tab=page_info', 'https://www.facebook.com/Flowstone-Industrial-Flooring-Ltd-710086709019646/info?tab=page_info']"
Adapt Flooring Ltd,Adapt Flooring,Cold,4,construction,http://www.adaptflooring.co.uk,,Online,None
Contract Flooring Supplies,Contract Flooring Supplies,Cold,6,construction,http://www.contractflooring.ie,https://www.facebook.com/cfsltd/,Online,"['https://www.facebook.com/cfsltd/', 'https://www.instagram.com/contractflooringsupplies/', 'https://www.facebook.com/cfsltd/', 'https://www.instagram.com/contractflooringsupplies/', 'https://www.facebook.com/cfsltd/', 'https://www.instagram.com/contractflooringsupplies/']"
"National Flooring Contractors Apprenticeship Program, Inc",National Flooring Contractors Apprenticeship Program,Cold,1,construction,http://www.nfcap.org,,Online,"['https://www.facebook.com/nfcap', 'https://www.instagram.com/nfcap/', 'https://www.facebook.com/nfcap', 'https://www.instagram.com/nfcap/']"
FEX Flooring Experts Co.,FEX Flooring Experts,Cold,2,construction,http://www.fex-sa.com,,Offline or Error,None
Southern Oaks Flooring,Southern Oaks Flooring,Cold,2,construction,http://www.southernoaksflooring.com,https://www.facebook.com/southernoaksflooring/,Online,"['https://www.instagram.com/southernoaksflooring/', 'https://www.facebook.com/southernoaksflooring/']"
Concord Flooring Inc,Concord Flooring,Cold,8,construction,http://www.concordflooring.ca,,Online,None
Munoz Flooring Solutions,Munoz Flooring Solutions,Cold,8,construction,http://www.munozfloors.com,,Online,None
Conway Flooring and Decking,Conway Flooring and Decking,Cold,2,construction,http://www.conwayflooring.co.za,https://www.facebook.com/conwayflooringanddecking/,Online,"['https://www.facebook.com/conwayflooringanddecking/', 'https://www.instagram.com/conway_flooring_and_decking']"
Rylex Flooring,Rylex Flooring,Cold,8,construction,http://www.rylexflooring.com.au,https://www.facebook.com/Rylex-Flooring-2062736307358943/,Offline or Error,None
Prestige Flooring (Bristol) Ltd,Prestige Flooring,Cold,1,construction,http://www.prestigeflooringltd.co.uk,https://www.facebook.com/people/Prestige-Flooring-Bristol/100027689396878/,Online,"['https://www.facebook.com/people/Prestige-Flooring-Bristol/100027689396878/?locale=en_GB', 'https://www.instagram.com/prestige_flooring_ltd/?hl=en-gb', 'https://www.facebook.com/profile.php?id=100027689396878', 'https://www.instagram.com/prestige_flooring_ltd/']"
Darwin Fisher Commercial Flooring,Darwin Fisher Commercial Flooring,Cold,3,construction,http://www.darwinfisher.com,,Online,None
FLOOR MASTER - Flooring Specialist UAE,FLOOR MASTER,Cold,6,construction,http://www.floormaster.ae,https://www.facebook.com/FLOORMASTER.AE,Online,"['https://www.facebook.com/FLOORMASTER.AE', 'https://www.facebook.com/FLOORMASTER.AE', 'https://www.facebook.com/FLOORMASTER.AE']"
FloorPro,FloorPro,Cold,6,construction,http://www.shopfloorpro.com,,Offline or Error,None
BlackRock Industrial Flooring,BlackRock Industrial Flooring,Cold,7,construction,http://www.blackrockindustrial.com,https://www.facebook.com/blackrockindustrial/,Offline or Error,None
Claymore Specialist Contracting,Claymore Specialist Contracting,Cold,6,construction,http://www.claymore-me.com,,Online,['https://www.instagram.com/claymore_me/?hl=en']
DECO CRETE,DECO CRETE,Cold,9,construction,http://www.decocrete.eu,,Online,None
Rebuildit Inc,Rebuildit,Cold,9,construction,http://www.rebuild-it.com,https://www.facebook.com/Rebuild-it-Services-Group-784981438257258/,Online,['https://www.facebook.com/Rebuild-it-Services-Group-784981438257258/?ref=hl']
360 Degree Flooring Ltd,360 Degree Flooring,Cold,3,construction,http://www.360degreeflooring.co.uk,https://www.facebook.com/360degreeflooring,Online,['https://www.facebook.com/360degreeflooring']
SURFACE SYSTEMS LIMITED,SURFACE SYSTEMS LIMITED,Cold,5,construction,http://www.surfacesystems.co.uk,,Online,None
